trace,packets,duration_s,avg_mbps,p50_mbps,p90_mbps,p95_mbps,p99_mbps,max_mbps
ATT-LTE-driving-2016.down,45604,120.002,4.560,3.480,9.600,12.720,23.880,51.120
ATT-LTE-driving-2016.up,19101,120.002,1.910,1.320,4.080,5.880,13.320,19.080
ATT-LTE-driving.down,338895,786.112,5.173,5.280,9.120,10.080,12.240,32.760
ATT-LTE-driving.up,70336,1011.641,0.834,0.840,1.440,1.560,1.680,2.760
TMobile-LTE-driving.down,505078,474.609,12.770,10.080,27.000,32.964,53.825,89.160
TMobile-LTE-driving.up,762370,474.065,19.298,21.720,30.240,32.040,39.120,45.000
TMobile-LTE-short.down,194846,139.986,16.703,14.400,30.360,39.480,54.481,66.720
TMobile-LTE-short.up,155381,139.993,13.319,11.400,26.400,28.200,30.360,36.840
TMobile-UMTS-driving.down,156262,928.424,2.020,1.800,4.080,5.640,7.080,8.760
TMobile-UMTS-driving.up,73197,930.596,0.944,1.080,1.440,1.440,1.680,3.360
Verizon-EVDO-driving.down,46065,1062.016,0.521,0.360,1.320,1.800,2.640,7.200
Verizon-EVDO-driving.up,74768,1063.662,0.844,0.960,1.320,1.440,1.920,5.640
Verizon-LTE-driving.down,1103688,1363.038,9.717,6.360,23.520,30.240,41.400,94.080
Verizon-LTE-driving.up,708561,1363.230,6.237,6.120,11.760,13.440,17.160,24.840
Verizon-LTE-short.down,58655,140.000,5.028,4.320,10.320,12.120,15.840,20.640
Verizon-LTE-short.up,69367,139.993,5.946,5.400,10.800,12.240,14.520,16.200
